iter	Passed	Remaining
0	131	131482
1	132	66108
2	133	44220
3	133	33354
4	134	26805
5	135	22451
6	136	19323
7	137	16996
8	138	15205
9	138	13747
10	139	12546
11	141	11681
12	143	10869
13	144	10147
14	144	9518
15	146	8994
16	147	8507
17	148	8082
18	148	7689
19	150	7354
20	151	7044
21	152	6757
22	152	6493
23	153	6252
24	154	6028
25	155	5836
26	156	5657
27	157	5479
28	158	5312
29	159	5163
30	160	5020
31	161	4889
32	162	4760
33	163	4637
34	164	4523
35	164	4417
36	165	4319
37	166	4222
38	167	4132
39	168	4043
40	169	3963
41	170	3892
42	171	3816
43	172	3742
44	173	3672
45	174	3611
46	175	3550
47	176	3496
48	177	3438
49	178	3387
50	179	3335
51	180	3288
52	181	3239
53	182	3191
54	183	3148
55	184	3111
56	185	3069
57	186	3026
58	187	2983
59	187	2945
60	189	2910
61	190	2875
62	190	2838
63	191	2804
64	192	2772
65	194	2749
66	195	2718
67	195	2682
68	196	2653
69	197	2624
70	198	2595
71	199	2569
72	200	2543
73	201	2516
74	202	2492
75	203	2469
76	204	2446
77	205	2423
78	205	2400
79	206	2379
80	207	2358
81	208	2338
82	209	2319
83	210	2298
84	211	2276
85	212	2258
86	213	2236
87	213	2217
88	214	2200
89	215	2183
90	216	2165
91	217	2148
92	218	2132
93	219	2118
94	220	2103
95	221	2087
96	222	2074
97	223	2059
98	224	2044
99	225	2031
100	226	2019
101	227	2002
102	228	1989
103	229	1976
104	230	1964
105	231	1951
106	232	1940
107	233	1929
108	234	1916
109	235	1905
110	236	1892
111	237	1880
112	238	1870
113	239	1860
114	240	1848
115	240	1835
116	241	1824
117	242	1812
118	243	1799
119	243	1789
120	244	1779
121	245	1768
122	246	1756
123	247	1747
124	248	1738
125	249	1729
126	250	1719
127	250	1708
128	251	1699
129	252	1689
130	253	1681
131	254	1671
132	254	1661
133	255	1652
134	256	1644
135	257	1637
136	258	1629
137	259	1619
138	260	1612
139	261	1604
140	262	1598
141	263	1590
142	264	1582
143	265	1575
144	266	1568
145	267	1561
146	268	1555
147	268	1548
148	269	1540
149	270	1532
150	271	1524
151	272	1518
152	273	1511
153	274	1505
154	274	1498
155	275	1491
156	276	1486
157	277	1480
158	278	1472
159	279	1467
160	280	1461
161	281	1455
162	282	1450
163	283	1444
164	284	1437
165	284	1431
166	286	1427
167	287	1422
168	287	1415
169	288	1409
170	289	1404
171	290	1398
172	291	1393
173	292	1386
174	292	1381
175	293	1375
176	294	1370
177	295	1366
178	296	1360
179	297	1355
180	298	1348
181	299	1343
182	300	1339
183	301	1335
184	302	1331
185	303	1326
186	304	1321
187	305	1318
188	306	1313
189	307	1309
190	308	1304
191	308	1300
192	310	1296
193	311	1292
194	312	1288
195	313	1285
196	314	1281
197	315	1276
198	315	1271
199	317	1268
200	318	1264
201	318	1259
202	319	1254
203	320	1250
204	321	1247
205	322	1243
206	323	1239
207	324	1234
208	324	1229
209	325	1225
210	326	1221
211	327	1217
212	328	1213
213	329	1209
214	330	1205
215	331	1202
216	332	1199
217	333	1195
218	334	1191
219	334	1187
220	335	1183
221	336	1180
222	338	1177
223	338	1173
224	339	1169
225	340	1166
226	341	1163
227	342	1159
228	343	1155
229	344	1151
230	344	1148
231	346	1145
232	346	1142
233	347	1138
234	348	1134
235	349	1130
236	349	1126
237	351	1124
238	351	1120
239	352	1116
240	353	1113
241	354	1110
242	355	1107
243	356	1105
244	357	1102
245	358	1100
246	359	1097
247	360	1094
248	361	1091
249	362	1087
250	363	1084
251	364	1081
252	365	1079
253	366	1076
254	367	1072
255	368	1070
256	369	1068
257	370	1066
258	371	1063
259	373	1062
260	374	1059
261	375	1056
262	375	1053
263	376	1050
264	378	1048
265	379	1045
266	379	1042
267	380	1039
268	382	1038
269	383	1036
270	384	1033
271	384	1029
272	385	1027
273	386	1024
274	387	1021
275	388	1018
276	389	1015
277	389	1012
278	390	1010
279	391	1007
280	392	1005
281	393	1002
282	394	999
283	395	997
284	396	995
285	397	992
286	398	989
287	399	986
288	400	984
289	401	981
290	401	978
291	402	976
292	403	973
293	404	971
294	405	969
295	406	967
296	407	964
297	408	962
298	409	960
299	410	957
300	411	955
301	412	952
302	412	949
303	413	947
304	414	945
305	415	942
306	416	940
307	417	937
308	418	935
309	419	933
310	420	931
311	421	928
312	421	926
313	422	923
314	423	921
315	424	919
316	425	917
317	426	914
318	427	912
319	428	910
320	429	908
321	430	905
322	431	903
323	432	902
324	433	900
325	434	898
326	435	896
327	436	894
328	437	892
329	438	890
330	439	887
331	440	885
332	441	884
333	442	881
334	443	879
335	444	877
336	445	876
337	446	874
338	447	872
339	448	870
340	449	868
341	450	867
342	452	865
343	453	864
344	454	862
345	454	859
346	456	858
347	456	856
348	458	854
349	459	853
350	460	852
351	461	850
352	463	848
353	464	847
354	478	868
355	479	866
356	480	864
357	481	863
358	483	862
359	483	860
360	484	858
361	485	856
362	486	853
363	487	851
364	488	849
365	489	847
366	490	845
367	491	843
368	492	841
369	492	839
370	493	837
371	494	835
372	495	833
373	496	831
374	497	829
375	498	827
376	499	825
377	500	823
378	501	820
379	501	818
380	502	816
381	503	814
382	504	812
383	505	810
384	506	808
385	506	806
386	507	804
387	508	802
388	509	800
389	510	798
390	511	796
391	512	794
392	513	792
393	514	790
394	514	788
395	515	786
396	516	784
397	517	782
398	518	780
399	519	778
400	520	776
401	520	774
402	521	772
403	522	771
404	523	769
405	524	767
406	525	765
407	526	763
408	527	762
409	528	760
410	529	758
411	529	756
412	530	754
413	531	752
414	532	750
415	533	749
416	534	747
417	535	745
418	536	743
419	537	741
420	537	739
421	538	737
422	539	736
423	540	734
424	541	732
425	542	730
426	543	728
427	543	727
428	544	725
429	545	723
430	546	721
431	547	719
432	548	717
433	548	715
434	549	714
435	550	712
436	551	710
437	552	708
438	553	707
439	554	705
440	555	703
441	556	702
442	556	700
443	557	698
444	558	696
445	560	696
446	561	694
447	562	693
448	563	691
449	564	690
450	565	688
451	566	686
452	567	685
453	568	683
454	569	682
455	570	680
456	571	679
457	572	677
458	573	675
459	574	674
460	575	672
461	576	671
462	577	669
463	578	668
464	579	666
465	580	664
466	580	663
467	582	662
468	583	660
469	584	659
470	585	657
471	586	656
472	587	654
473	588	652
474	589	651
475	590	649
476	591	648
477	592	647
478	594	646
479	597	646
480	598	645
481	599	644
482	601	643
483	602	642
484	603	641
485	609	644
486	610	643
487	611	642
488	613	640
489	614	639
490	615	638
491	616	636
492	617	635
493	618	633
494	620	632
495	620	631
496	622	629
497	623	628
498	624	626
499	626	626
500	628	625
501	628	623
502	630	622
503	631	621
504	632	619
505	633	618
506	634	616
507	634	614
508	635	613
509	636	611
510	637	610
511	638	608
512	639	607
513	640	605
514	641	603
515	642	603
516	643	601
517	644	599
518	645	597
519	646	596
520	647	595
521	648	593
522	649	592
523	649	590
524	650	588
525	651	587
526	652	585
527	653	584
528	654	582
529	654	580
530	656	579
531	657	578
532	658	576
533	658	574
534	659	573
535	660	572
536	661	570
537	662	568
538	663	567
539	664	565
540	664	564
541	665	562
542	666	561
543	667	559
544	668	558
545	669	556
546	670	555
547	671	553
548	672	552
549	673	550
550	674	549
551	675	548
552	676	546
553	677	545
554	678	543
555	678	542
556	679	540
557	680	539
558	681	537
559	682	536
560	683	534
561	684	533
562	685	531
563	686	530
564	688	529
565	689	528
566	690	527
567	691	525
568	692	524
569	693	523
570	694	521
571	695	520
572	696	518
573	697	517
574	698	515
575	698	514
576	699	513
577	701	511
578	702	510
579	703	509
580	703	507
581	704	506
582	706	505
583	707	503
584	707	502
585	708	500
586	709	499
587	710	498
588	711	496
589	712	495
590	713	493
591	714	492
592	715	490
593	716	489
594	716	487
595	717	486
596	718	485
597	720	484
598	721	482
599	721	481
600	722	479
601	723	478
602	724	477
603	725	475
604	726	474
605	727	472
606	728	471
607	729	470
608	729	468
609	730	467
610	731	465
611	732	464
612	733	462
613	734	461
614	735	460
615	736	458
616	737	457
617	738	456
618	739	454
619	739	453
620	740	452
621	741	450
622	742	449
623	743	448
624	744	446
625	745	445
626	746	443
627	746	442
628	747	441
629	748	439
630	749	438
631	750	437
632	751	435
633	753	434
634	754	433
635	754	432
636	755	430
637	756	429
638	757	428
639	758	426
640	759	425
641	760	424
642	761	423
643	763	421
644	763	420
645	764	419
646	765	417
647	766	416
648	767	415
649	768	414
650	770	412
651	771	411
652	772	410
653	773	409
654	774	407
655	775	406
656	776	405
657	777	404
658	778	403
659	779	401
660	780	400
661	781	399
662	783	398
663	784	396
664	785	395
665	786	394
666	787	393
667	788	391
668	789	390
669	790	389
670	791	387
671	792	386
672	793	385
673	794	384
674	795	382
675	796	381
676	797	380
677	798	379
678	799	378
679	800	376
680	801	375
681	802	374
682	803	372
683	804	371
684	805	370
685	806	369
686	807	367
687	808	366
688	809	365
689	810	363
690	811	362
691	811	361
692	812	359
693	813	358
694	814	357
695	815	356
696	816	354
697	816	353
698	817	352
699	818	350
700	819	349
701	820	348
702	821	346
703	821	345
704	822	344
705	823	343
706	824	341
707	825	340
708	826	339
709	826	337
710	827	336
711	828	335
712	829	333
713	830	332
714	830	331
715	831	329
716	832	328
717	833	327
718	834	326
719	835	324
720	836	323
721	837	322
722	838	321
723	839	319
724	839	318
725	840	317
726	841	316
727	842	314
728	843	313
729	844	312
730	845	311
731	846	309
732	847	308
733	847	307
734	848	306
735	849	304
736	850	303
737	851	302
738	852	300
739	853	299
740	853	298
741	854	297
742	855	295
743	856	294
744	857	293
745	858	292
746	859	290
747	860	289
748	861	288
749	861	287
750	862	286
751	863	284
752	864	283
753	865	282
754	865	281
755	866	279
756	867	278
757	868	277
758	869	275
759	870	274
760	870	273
761	871	272
762	872	270
763	873	269
764	874	268
765	875	267
766	876	266
767	877	265
768	878	263
769	879	262
770	881	261
771	881	260
772	882	259
773	884	258
774	885	256
775	885	255
776	886	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	892	247
783	893	246
784	894	244
785	895	243
786	896	242
787	897	241
788	898	240
789	899	239
790	900	237
791	901	236
792	902	235
793	904	234
794	905	233
795	905	232
796	906	230
797	907	229
798	908	228
799	909	227
800	910	226
801	911	225
802	912	223
803	913	222
804	914	221
805	916	220
806	917	219
807	918	218
808	918	216
809	919	215
810	921	214
811	922	213
812	922	212
813	923	211
814	924	209
815	926	208
816	926	207
817	927	206
818	928	205
819	929	203
820	929	202
821	930	201
822	931	200
823	931	199
824	932	197
825	933	196
826	934	195
827	935	194
828	935	193
829	936	191
830	937	190
831	938	189
832	939	188
833	940	187
834	941	186
835	941	184
836	942	183
837	943	182
838	944	181
839	945	180
840	946	178
841	946	177
842	947	176
843	948	175
844	949	174
845	950	172
846	951	171
847	951	170
848	952	169
849	953	168
850	954	167
851	955	165
852	955	164
853	956	163
854	957	162
855	958	161
856	959	160
857	960	158
858	961	157
859	962	156
860	963	155
861	964	154
862	965	153
863	965	152
864	966	150
865	967	149
866	968	148
867	969	147
868	969	146
869	970	145
870	971	143
871	972	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	136
877	976	135
878	978	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	983	126
886	984	125
887	985	124
888	986	123
889	987	122
890	987	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	993	114
897	993	112
898	994	111
899	995	110
900	996	109
901	997	108
902	997	107
903	998	106
904	999	104
905	1000	103
906	1001	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1005	97
912	1006	95
913	1006	94
914	1007	93
915	1008	92
916	1009	91
917	1010	90
918	1010	89
919	1011	87
920	1012	86
921	1013	85
922	1013	84
923	1014	83
924	1015	82
925	1016	81
926	1017	80
927	1018	78
928	1018	77
929	1019	76
930	1020	75
931	1021	74
932	1021	73
933	1023	72
934	1023	71
935	1024	70
936	1025	68
937	1025	67
938	1026	66
939	1027	65
940	1028	64
941	1029	63
942	1029	62
943	1030	61
944	1031	60
945	1032	58
946	1033	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1036	52
952	1037	51
953	1038	50
954	1039	48
955	1039	47
956	1040	46
957	1041	45
958	1042	44
959	1043	43
960	1043	42
961	1044	41
962	1045	40
963	1046	39
964	1047	37
965	1048	36
966	1048	35
967	1049	34
968	1050	33
969	1051	32
970	1051	31
971	1052	30
972	1053	29
973	1053	28
974	1054	27
975	1056	25
976	1056	24
977	1057	23
978	1058	22
979	1058	21
980	1059	20
981	1060	19
982	1061	18
983	1061	17
984	1062	16
985	1063	15
986	1063	14
987	1064	12
988	1065	11
989	1066	10
990	1067	9
991	1068	8
992	1068	7
993	1069	6
994	1070	5
995	1071	4
996	1071	3
997	1072	2
998	1073	1
999	1074	0
